MaKhachHang,HoTen,CMND,DiaChi,SoDienThoai,Email,SoTaiKhoan,LoaiTaiKhoan,SoDu,NgayTao,KyHan,LaiSuat,SoTienVay
KH20250423013007,Le Hoang Bao Ngoc,0123456789,binhtanhcm,09812345678,baongoc@gmail.com,TK20250423013042,Thanh toán,69000,2025-04-23 01:30:42,,,
KH20250423013007,Le Hoang Bao Ngoc,0123456789,binhtanhcm,09812345678,baongoc@gmail.com,TK20250423013107,Tiết kiệm,100350,2025-04-23 01:42:39,2,2.1,
KH20250423013007,Le Hoang Bao Ngoc,0123456789,binhtanhcm,09812345678,baongoc@gmail.com,TK20250423013129,Vay vốn,-100000,2025-04-23 01:31:29,2,4.8,100000
KH20250423013857,Le Tran Anh Kiet,0987654321,binhchanh,0132456789,anhkiet@gmail.com,TK20250423013936,Thanh toán,220000,2025-04-23 01:39:36,,,
KH20250423013857,Le Tran Anh Kiet,0987654321,binhchanh,0132456789,anhkiet@gmail.com,TK20250423014012,Tiết kiệm,222865,2025-04-23 01:40:12,6,3.5,
KH20250423013857,Le Tran Anh Kiet,0987654321,binhchanh,0132456789,anhkiet@gmail.com,TK20250423014058,Vay vốn,-270000,2025-04-23 01:40:58,3,4.8,270000
KH20250423095309,Le Thanh Tam,000000,quan1,123,thanhtam,,,,,,
KH20250423101447,Le Thanh Vy,012345678,quan5,0964793832,thanhvy@gmail.com,TK20250423101704,Thanh toán,92000,2025-04-23 10:17:04,,,
KH20250423101447,Le Thanh Vy,012345678,quan5,0964793832,thanhvy@gmail.com,TK20250423101759,Tiết kiệm,60600,2025-04-23 10:24:36,4,2.4,
KH20250423101447,Le Thanh Vy,012345678,quan5,0964793832,thanhvy@gmail.com,TK20250423101829,Vay vốn,-100000,2025-04-23 10:18:29,4,4.8,100000
KH20250424210421,Nguyen Van A,01234567890,quan6hcm,0912345678,vana@gmail.com,,,,,,
KH20250616125953,Le Thanh Vy,01234,binhkhanh,123,thanhvy@gmail.com,,,,,,
